Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
Solanum candolleanum genome assembly	GCA_052675075.1		Solanum candolleanum					OCHS-59			Contig	2025-09-16	JALZTV01	285
bSetPal1_p1.2	GCA_051176245.2		Setophaga palmarum					PalmWarbler02			Scaffold	2026-01-27	JBLQYH02	309
rCroOre1.0.p	GCA_024509115.1		Crotalus helleri					HBS135844	male		Scaffold	2022-08-04	JAKSXO01	697
Ude_BIV7592_haploid	GCA_029339505.1		Unio delphinus					BIV7592			Scaffold	2023-03-22	JAQISU01	1253
bAnaCya2_p1.2	GCA_052095155.2		Spatula cyanoptera					CinnamonTeal01			Scaffold	2026-01-27	JBLQGW02	725
ilOenChry1.0.hap2	GCA_029955525.1		Oeneis ivallda					CCGP_102_HBS-TG_Oc004	female		Scaffold	2023-05-08	JARPMR01	128
drOemCera1_p1.2	GCA_037349345.2		Oemleria cerasiformis					IndianPlum01			Scaffold	2025-07-24	JAZGTL02	45
Bombom1	GCA_030512295.1		Bombardia bombarda		SMH3391-2					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-20	JAULSR01	20
ASM3121651v1	GCF_031216515.1	GCA_031216515.1	Neocloeon triangulifer					White Clay Creek 2 clone	female	GCF_031216515.1-RS_2023_09	Contig	2023-08-30	JASKYO01	27
bOreRuf1_p1.2	GCA_051176345.2		Leiothlypis ruficapilla					NashvilleWarbler01			Scaffold	2026-01-27	JBLQYL02	682
ASM4020713v1	GCA_040207135.1		Betta imbellis					JG-2024a	male		Scaffold	2024-06-17	JBCAWM01	58
mMarPen1_p1.1	GCA_054908185.1		Pekania pennanti					CBP01583			Scaffold	2026-02-04	JBQOVE01	334
ASM1890374v1	GCA_018903745.1		Drosophila repleta					kari30	male		Contig	2021-06-16	JAEIGN01	753
bSetRut1_p1.1	GCA_051175735.1		Setophaga ruticilla					AmericanRedstart01			Contig	2025-07-02	JBLQYR01	1470
ASM1997785v1	GCA_019977855.1		Penicillium aurantiogriseum		IBT 35659						Contig	2021-09-14	JAFCIW01	4
ASM4794833v1	GCA_047948335.1		Pandanus amaryllifolius			PA006					Contig	2025-02-24	JBLLRO01	1229
Sole_v2.1	GCF_021117445.2	GCA_021117445.2	Syzygium oleosum					NSW1041296		GCF_021117445.2-RS_2023_05	Scaffold	2022-10-03	JAJKFM02	72
ASM3658396v1	GCA_036583965.1		Prunella strophiata					XZ15142	male		Scaffold	2024-02-13	JAZBQD01	1248
ASM2378306v1	GCA_023783065.1		Nomascus siki					KIZ-2021_17	male		Scaffold	2022-06-17	JAKFHL01	2647
HumboldtARI_Pten_1.0	GCA_033557915.1		Phytophthora tentaculata					941G			Contig	2023-11-13	JAUCEA01	177
ASM2740600v1	GCA_027406005.1		Colletotrichum horii		PLG3						Contig	2022-12-27	JANVYB01	17
ASM3018009v1	GCA_030180095.1		Magnolia changhungtana					hyml			Scaffold	2023-06-06	JASAUF01	676
ASM2211410v1	GCA_022114105.1		Tolypocladium guangdongense		GD1-15						Scaffold	2022-02-09	NRQP01	9
UWisc_Pste_1.0	GCA_038502155.1		Parochlus steinenii					Sejong01	pooled male and female		Contig	2024-04-26	JAXCIN01	55
ASM1961464v1	GCA_019614645.1		Stratiolaelaps scimitus					SD			Contig	2021-08-16	JABWDB01	158
Vinf01	GCA_054771875.1		Vampyroteuthis infernalis								Contig	2025-08-23	BAAFZU01	12099
Dsans-20210429	GCA_052858535.1		Dioscorea sansibarensis					DsansV1		Annotation submitted by INRAE/CNRS	Contig	2025-09-26	JAMQUQ01	77
USFQ_Afusci_2	GCA_036589455.2		Ateles fusciceps				Jambeli	MaM			Scaffold	2024-12-17	JAZHEH02	3853
Chua_assembly01	GCA_054772095.1		Chamberlinius hualienensis							Annotation submitted by Department of Biotechnology, Biotechnology Research Center, Toyama Prefectural University	Scaffold	2025-07-28	BAAGAE01	55
ASM3504344v1	GCA_035043445.1		Drosophila silvestris					Dsil_DKP	male		Contig	2024-01-03	JAWNMZ01	180
ASM2960319v2	GCF_029603195.1	GCA_029603195.2	Condylostylus longicornis					FDR11	male	GCF_029603195.1-RS_2023_04	Contig	2023-04-06	JAQSLO01	847
UGA_ACOO_1.1	GCF_023614345.1	GCA_023614345.1	Adelges cooleyi					19-005CV		NCBI Adelges cooleyi Annotation Release 100	Scaffold	2022-05-31	JALSES01	840
ASM1888350v1	GCA_018883505.1		Ceratosolen fusciceps					figwasp			Contig	2021-06-14	RCIC01	138
ASM4364072v1	GCA_043640725.1		Phomopsis mahothocarpi		GZU-Y2						Contig	2024-10-23	JBBYIC01	62
CSIRO-AGI_Nayr_v1	GCF_046127955.1	GCA_046127955.1	Nelusetta ayraudi				Tasmania	G7.1		GCF_046127955.1-RS_2025_08	Contig	2024-12-17	JBHDUL01	396
UR_Zind_1.0	GCA_043643915.1		Zaprionus indianus					inbred line# 24.2			Scaffold	2024-10-23	JAUIZU01	1014
Cenicafe_Pnas_1.2	GCF_024137725.1	GCA_024137725.2	Prorops nasuta					Cenicafe-Biocafe	pooled male and female	GCF_024137725.1-RS_2024_07	Contig	2022-06-30	JAKWFN01	478
Lasmin1	GCF_030549165.1	GCA_030549165.1	Lasiosphaeria miniovina		SMH2392-1A					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-27	JAUIRO01	10
ASM3331912v1	GCA_033319125.1		Parnassius glacialis					BQLS			Scaffold	2023-11-03	JAVANC01	124
gzAbsCyli1	GCA_977092135.1		Absidia cylindrospora							Annotation submitted by ELIXIR Norway	Contig	2025-12-07	CDRYNH01	34
ASM1835768v2	GCA_018357685.2		Trichophyton schoenleinii		CMCC(F)T2s						Contig	2025-02-06	WOFF02	11
ASM5409856v1	GCA_054098565.1		Fusarium nematophilum		Fn10					Annotation submitted by Nanjing Agricultural University	Contig	2025-12-19	JBRIOT01	11
ASM1169274v1	GCF_011692745.1	GCA_011692745.1	Arthroderma uncinatum		CBS 119779					Annotation submitted by Chinese Academy of Medical Science and Peking Union Medical College	Contig	2020-03-24	JAACJD01	5
bGeoPhi1_p1.2	GCA_051175835.2		Geothlypis philadelphia					MourningWarbler04			Scaffold	2026-01-27	JBLQYV02	377
Cercau1	GCA_030512335.1		Immersiella caudata		CBS 606.72					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-20	JAULSU01	11
ASM2740602v1	GCA_027406025.1		Colletotrichum musae		GZ23						Contig	2022-12-27	JANVYC01	14
OryCel_1.0	GCA_014656515.1		Oryzias celebensis		Ujung pandang (RS278)						Scaffold	2020-09-12	BNCR01	593
dmAquExim1.1.p	GCA_023053565.2		Aquilegia eximia					PFEx6	hermaphrodite		Scaffold	2024-08-30	JALIGU02	265
Lashi1	GCA_033439745.1		Lasiosphaeria hispida		CBS 955.72					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAUIQD01	24
Lasov1	GCA_033439765.1		Lasiosphaeria ovina		CBS 958.72					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAULSN01	36
SNNU_Mpha_1.0	GCA_020740385.1		Mylabris phalerata					DL2021			Contig	2021-11-04	JAJEOX01	299
Cersc1	GCA_033439705.1		Cercophora scortea		SMH4131-1					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAUEPO01	9
Lashir1	GCA_030549175.1		Lasiosphaeris hirsuta		SMH4607-1					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-27	JAUKUA01	14
CSIRO-AGI_Hpra_v1	GCA_033815515.1		Cryptocheilus praepositus					ANIC_32_141745			Contig	2023-11-20	JAWWQZ01	353
USP_Mbic_1.2	GCA_030673865.1		Melipona bicolor					USP_2M_L1-L4_2017		Annotation submitted by Universidade de Sao Paulo	Scaffold	2023-08-07	JAHYIQ01	241
PMAC_1.1	GCA_047372525.1		Pimelodus maculatus		YG-2025				male		Scaffold	2025-02-03	JBLGTD01	623
ASM1470636v1	GCA_014706365.1		Colletotrichum australisinense (nom. inval.)		GX1655						Contig	2020-09-23	JABKAN01	28
ASM5094790v1	GCA_050947905.1		Aristida adscensionis					PI 269867		Annotation submitted by University of Sheffield	Contig	2025-06-17	JBNHNG01	186
ASM3757743v1	GCA_037577435.1		Fusarium sulawesiense		KUNCC3432						Contig	2024-03-26	JAYGOQ01	14
bPelEry1_p1.2	GCA_051176275.2		Pelecanus erythrorhynchos					AmericanWhitePelican01			Scaffold	2026-01-27	JBLQYJ02	528
ASM4028543v1	GCA_040285435.1		Brachymeria lasus					PL-2023	male and female		Contig	2024-06-24	JASCSK01	356
ASM1446267v1	GCA_014462675.1		Mycena sanguinolenta		160909Yilan					Annotation submitted by Academia Sinica	Contig	2020-09-03	JACAZH01	155
Fuseq1	GCF_020744385.1	GCA_020744385.1	Fusarium flagelliforme		FIESC 12 MPI-CAGE-AA-0113					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAHBOO01	15
ASM2143272v1	GCA_021432725.1		Brachionus angularis					KE2014			Contig	2022-01-11	JAJVDD01	21
eaEvaTros1_p1.2	GCA_049308315.2		Evasterias troschelii					MottledStar01			Scaffold	2025-08-18	JBLUSK02	82
Cernew1	GCA_030512285.1		Cercophora newfieldiana		SMH2532-1					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-20	JAULSV01	7
ASM4854339v1	GCA_048543395.1		Pristomyrmex punctatus					GAGA-0082			Scaffold	2025-03-11	JBJGOP01	237
Schves1	GCA_030549215.1		Schizothecium vesticola		SMH3187-1					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-27	JAUKUD01	9
ASM4168437v1	GCA_041684375.1		Aspergillus quadrilineatus					8			Contig	2024-08-30	JBEUPM01	9
ASM3177211v1	GCA_031772115.1		Heritiera littoralis					HL_DZ_201710_leaf			Contig	2023-09-20	JAPDPK01	275
Hm576	GCA_902825475.1		Hypomontagnella monticulosa					CLL 205			Contig	2020-06-05	CADEBF01	16
ASM1716397v1	GCA_017163975.1		Anastatus disparis					WT-2013	female		Contig	2021-03-04	JAFFSR01	410
bAixSpo1_p1.2	GCA_051175885.2		Aix sponsa					WoodDuck01			Scaffold	2026-01-27	JBLQYX02	509
ASM4854266v1	GCA_048542665.1		Cataglyphis aenescens					GAGA-0354			Scaffold	2025-03-11	JBJGNG01	845
ASM3704358v1	GCA_037043585.1		Drosophila mimica					Dmic_SHC-C044	male		Contig	2024-03-06	JBAMBE01	1270
ASM430301v1	GCA_004303015.1		Cladobotryum protrusum		CCMJ2080						Contig	2019-02-26	RZGP01	18
ASM2612273v1	GCA_026122735.1		Penicillium bialowiezense		A30						Contig	2022-11-10	JAKZFB01	43
Gelte1	GCF_033439725.1	GCA_033439725.1	Neurospora tetraspora		CBS 560.94					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAUEPP01	23
Chagl1	GCF_020726465.1	GCA_020726465.1	Chaetomium tenue		MPI-SDFR-AT-0079					Annotation submitted by DOE Joint Genome Institute	Contig	2021-10-29	JAGIZQ01	9
ASM2953262v1	GCA_029532625.1		Lomentospora prolificans		90853						Contig	2023-04-06	JARFXM01	11
ASM1909615v1	GCA_019096155.1		Staphylotrichum longicolle		FW57					Annotation submitted by Hamburg University	Scaffold	2021-07-02	JAHCVI01	6
ASM3504859v1	GCA_035048595.1		Echinosophora koreensis					YJK-2022			Contig	2024-01-03	JAPCYP01	551
ASM5008498v1	GCA_050084985.1		Nageia nagi					Chaw1491			Scaffold	2025-05-01	JBITNC01	2278
NIFS_Mimiz_1.0	GCA_025389145.1		Misgurnus mizolepis					KJE_0			Scaffold	2022-09-25	JAIFKI01	135
CSIRO-AGI_Gbla_v1	GCF_046128005.1	GCA_046128005.1	Genypterus blacodes				Tasmania	CSIRO-AG114		GCF_046128005.1-RS_2025_08	Contig	2024-12-17	JBHDUM01	598
Apope1	GCA_033439685.1		Apodospora peruviana		CBS 118394					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAUEDM01	36
ASM3712743v1	GCA_037127435.1		Epinephelus malabaricus					E.mal2			Scaffold	2024-03-13	JANUFT01	423
ASM3738946v1	GCA_037389465.1		Baylisascaris procyonis		BP_20230808						Contig	2024-03-19	JAZARR01	296
Poddi1	GCA_033439775.1		Podospora didyma		CBS 232.78					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAULSW01	31
ASM2903450v1	GCA_029034505.1		Ornithoptera priamus	wild				FC565	male		Scaffold	2023-03-08	JARDWD01	840
Chafi1	GCF_033439085.1	GCA_033439085.1	Chaetomium fimeti		CBS 168.71					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAUEPN01	24
ASM1609727v1	GCA_016097275.1		Aspergillus elegans		IMI 345568						Contig	2020-12-16	JADWDI01	8
bSpiPal1_p1.2	GCA_052095105.2		Spizella pallida					ClayColouredSparrow02			Scaffold	2026-01-27	JBLQGU02	273
bAecOcc1_p1.1	GCA_055268785.1		Aechmophorus occidentalis					WesternGerbe01			Scaffold	2026-02-17	JBQOVS01	2712
ASM5485932v1	GCA_054859325.1		Dictyostelium citrinum		GS8b					Annotation submitted by University of Pittsburgh	Contig	2026-01-30	JBTAPL01	89
Onygenacorvina_NMBU2024	GCA_051362545.1		Onygena corvina		CBS 281.48						Contig	2025-07-15	JBPRGC01	13
nextdenovo-longstitch-racon4-pilon3	GCF_028296485.1	GCA_028296485.1	Oppia nitens					AA-2021		GCF_028296485.1-RS_2023_03	Scaffold	2023-01-30	JAPNUB01	65
wah_genome_v1	GCA_964033665.1		Acanthocybium solandri								Scaffold	2025-04-19	CAXITR01	937
ASM2882876v1	GCF_028828765.1	GCA_028828765.1	Penicillium canescens		IBT 15451					GCF_028828765.1-RS_2026_02	Contig	2023-02-23	JAQJZN01	15
Cenicafe_Pcof_1.1	GCF_024137745.1	GCA_024137745.1	Phymastichus coffea					CEN01	pooled male and female	GCF_024137745.1-RS_2023_08	Contig	2022-06-30	JAKZJS01	389
Neuhi1	GCF_033458365.1	GCA_033458365.1	Neurospora hispaniola		FGSC 10403					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-09	JAULSX01	23
ASM4175732v1	GCA_041757325.1		Pungu maclareni					02C7			Contig	2024-09-05	JBHCOC01	2443
ASM5576973v1	GCA_055769735.1		Argas persicus					GS-2021		Annotation submitted by Beijing Institute of Microbiology and Epidemiology	Contig	2026-03-10	JAUUEJ01	1418
ASM2981771v1	GCA_029817715.1		Melastoma dodecandrum					Guangzhou02			Contig	2023-04-18	JARUPY01	607
ASM2916897v1	GCA_029168975.1		Purpureocillium lavendulum		YMF1.00683					Annotation submitted by Yunnan University	Contig	2023-03-14	JAQHRD01	49
ASM5199364v1	GCA_051993645.1		Rhodeus ocellatus					Fish10K-Assembly45			Contig	2025-08-13	JBNTTB01	4140
Ck_assembly01	GCF_019650295.1	GCA_019650295.1	Cercospora kikuchii		MAFF 305040					Annotation submitted by Japan International Research Center for Agricultural Sciences	Contig	2021-07-08	BOLY01	9
Crad_v1.0	GCA_040893725.1		Cladonema radiatum					F20_11_2			Contig	2024-04-24	BAABWB01	963
ASM4765172v1	GCA_047651725.1		Cordyceps blackwelliae		ZYJ0835						Contig	2025-02-11	JBKZWQ01	11
ASM151382v2	GCA_001513825.2		Chrysoporthe deuterocubensis		CMW 8650						Contig	2020-12-15	LJDD02	44
ASM1680221v1	GCA_016802215.1		Brachionus paranguensis		NV1994						Contig	2021-02-02	JAESIX01	71
ASM2000236v1	GCA_020002365.1		Trichoderma gracile		HK011-1					Annotation submitted by Hainan University	Contig	2021-09-15	JAINEY01	10
Armect1	GCA_030407005.1		Desarmillaria ectypa		FPL83.16					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-05	JAUDYN01	33
ASM2470658v1	GCA_024706585.1		Penicillium simplicissimum		A4						Contig	2022-08-17	JAMZTW01	196
ASM2467906v1	GCA_024679065.1		Sphyrna mokarran					GTHH OC-432			Scaffold	2022-08-15	JAGIQG01	1658
VaThai_1.0	GCA_030268105.1		Volvox africanus		NIES-4468				homothallic	Annotation submitted by Department of Chemical and Biological Sciences, Faculty of Science, Japan Women's University	Contig	2023-05-18	BSDZ01	129
Truan1	GCF_020726525.1	GCA_020726525.1	Truncatella angustata		MPI-SDFR-AT-0073					Annotation submitted by DOE Joint Genome Institute	Contig	2021-10-29	JAGPXC01	17
Puya125_v2	GCA_016920855.2		Puya raimondii					P1_25			Contig	2024-08-12	JABWPP02	249
ASM5347873v2	GCA_053478735.2		Didymosphaeria rubi-ulmifolii		GF1						Contig	2025-11-28	JAOXMA02	14
Hypfra2	GCF_022984875.1	GCA_022984875.1	Hypoxylon fragiforme		CBS 206.31					Annotation submitted by DOE Joint Genome Institute	Contig	2022-04-14	JAJKLD01	15
ASM2298505v1	GCA_022985055.1		Beauveria pseudobassiana		RGM 2184						Contig	2022-04-14	JAKJXD01	45
Armfum1	GCA_030407015.1		Armillaria fumosa		CBS 122221					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-05	JAUDYM01	54
BUMICRO_TalaroTrachy_1.1	GCA_020137715.1		Talaromyces trachyspermus		4014						Contig	2021-10-05	JACGXQ01	14
BGI_Dund_1.0	GCA_008933995.1		Datnioides undecimradiatus					QDKF35A			Scaffold	2019-10-10	WARS01	4439
S_brasiliensis_5110_v1	GCF_000820605.1	GCA_000820605.1	Sporothrix brasiliensis 5110		5110					Annotation submitted by LNCC	Contig	2015-01-16	AWTV01	13
ASM155750v1	GCA_001557505.1		Reticulascus tulasneorum		NRRL18230						Contig	2016-02-10	LSAX01	36
Ophcf2	GCA_012980515.1		Ophiocordyceps camponoti-floridani		EC05					Annotation submitted by University of Central Florida	Contig	2020-05-12	JAACLJ01	12
ASM4972453v1	GCA_049724535.1		Loxops caeruleirostris				Kauai	AE001	male		Scaffold	2025-04-16	JBMBWR01	1122
ASM3697171v1	GCA_036971715.1		Arthrobotrys musiformis		TWF481					Annotation submitted by Academia Sinica	Contig	2024-03-04	JAVHJL01	14
Cquilicii_01	GCA_043005495.1		Ceratitis quilicii								Scaffold	2024-09-27	BAAFTC01	939
ASM5037009v1	GCA_050370095.1		Fusarium phalaenopsidis		FUZ10S					Annotation submitted by National Chung Hsing University	Contig	2025-05-14	JALDMR01	54
Cau_v1.0	GCA_003260385.1		Cuscuta australis					Yunnan		Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences	Contig	2018-06-22	NQVE01	218
GAI293_CANU_175m_combined	GCA_019154785.2		Nitzschia inconspicua		hildebrandi					Annotation submitted by University of California, San Diego	Contig	2021-07-07	JAGRRH01	123
ASM4168418v1	GCA_041684185.1		Aspergillus latus					MO46169			Scaffold	2024-08-30	JBCFXQ01	20
ASM3044989v1	GCA_030449895.1		Citrus mangshanensis			MSYG					Contig	2023-07-13	JASUUJ01	376
ASM3910526v1	GCA_039105265.1		Tritrichomonas musculus		EAF2021					Annotation submitted by National Institues of Health	Contig	2024-05-02	JAPFFF01	756
ASM5129447v1	GCA_051294475.1		Sternochetus mangiferae					JH-2024a			Contig	2025-07-10	JBLDTD01	567
TUD_VanAlb_v1.0	GCF_041260175.1	GCA_041260175.1	Vanrija albida		AlHP1					Annotation submitted by TU Dresden - IHI Zittau	Contig	2024-08-08	JBBXJM01	7
Sorbr1	GCA_033439795.1		Sordaria brevicollis		FGSC 1904					Annotation submitted by DOE Joint Genome Institute	Contig	2023-11-08	JAUTDP01	29
ASM105115v2	GCA_001051155.2		Chrysoporthe austroafricana					CMW 2113			Scaffold	2020-12-15	JYIP02	227
BRLI_1.1	GCA_023053555.1		Branchinecta lindahli					BRLI_1	female		Scaffold	2022-04-19	JAKZAO01	55
Mictri1	GCF_020744255.1	GCA_020744255.1	Microdochium trichocladiopsis		MPI-CAGE-CH-0230					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-04	JAGTJQ01	26
SYSU_Cezipp	GCA_037897445.1		Ceriops zippeliana					Cezipp_2019_Singapore			Contig	2024-03-29	JBAPLH01	2436
CPAR01	GCF_030867605.1	GCA_030867605.1	Colletotrichum paranaense		IMI 384185					Annotation submitted by University of Western Brittany	Contig	2023-08-24	MOPA01	36
CSIRO-AGI_Acam_v1.1	GCF_037179485.1	GCA_037179485.2	Ochlerotatus camptorhynchus					MF236.1	female	GCF_037179485.1-RS_2024_05	Contig	2024-03-15	JBBEFR01	1240
ASM4771640v1	GCA_047716405.1		Fusarium chlamydosporum		IraGTOF6					Annotation submitted by UNAM	Contig	2025-02-12	JBLAUX01	23
S.colias_p1.0	GCA_021039105.1		Scomber colias					Sco2			Scaffold	2021-12-03	JAJDFG01	2028
CIB_Pput_1.0	GCA_037367255.1		Phrynocephalus putjatai					GD01	female		Contig	2024-03-19	JAWVWM01	7767
ASM5094774v1	GCA_050947745.1		Amphichorda felina		45539		forest			Annotation submitted by Graduate School of Frontier Sciences, The University of Tokyo	Contig	2025-06-17	JBIMJW01	9
Altro1	GCF_020736505.1	GCA_020736505.1	Alternaria rosae		MPI-PUGE-AT-0040					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-02	JAHBNI01	52
UNM_Bpfe_1.0	GCA_030265305.1		Biomphalaria pfeifferi					KasaAsao	hermaphrodite	Annotation submitted by University of New Mexico	Contig	2023-06-13	JASAOG01	505
ASM4528187v1	GCA_045281875.1		Chrysojasminum fruticans					CEFE S6			Contig	2024-11-25	JAWMAB01	4698
bQuiMaj1.1.hap1	GCA_047301405.1		Quiscalus major					B-96265	female		Scaffold	2025-01-29	JBITNH01	401
Hexnit1	GCA_022606115.1		Daedaleopsis nitida		CIRM-BRFM 1802					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-16	JABYQM01	33
WUR_CCHA_CGN21477	GCA_053540505.1		Capsicum chacoense			PI260429				Annotation submitted by Wageningen University & Research	Scaffold	2025-11-18	JBKQWW01	1009
PlestBisexual_1.0	GCA_030267565.1		Pleodorina starrii		NIES-4479				bisexual	Annotation submitted by Higashiyama Developmental-Cell-Biology Lab, Graduate School of Science, Department of Biological Sciences, The University of Tokyo	Contig	2023-05-19	BRXU01	95
gzMucFrag1	GCA_977110935.1		Mucor fragilis							Annotation submitted by ELIXIR Norway	Contig	2025-12-07	CDSBDE01	29
bCatMin1_p1.2	GCA_052095055.2		Catharus minimus					GrayCheekedThrush01			Scaffold	2026-01-27	JBLQGS02	352
jcinerea.fasta.gz	GCA_961763995.1		Juglans cinerea								Scaffold	2023-08-01	CAUIVZ01	16
ASM209936v1	GCA_002099365.1		Phialophora verrucosa		BMU07605						Contig	2017-04-18	MSED01	15
ASM5494886v1	GCA_054948865.1		Hyaloscypha variabilis		MD1					Annotation submitted by DOE Joint Genome Institute	Contig	2026-02-06	JBTYLR01	21
ASM5049184v1	GCA_050491845.1		Leptographium procerum		2021000005						Contig	2025-05-20	JBBHLV01	39
OryWow_0.9	GCA_016861445.1		Oryzias woworae		Fotuno						Contig	2021-01-14	BOLG01	1666
ASM766332v1	GCA_007663325.1		Eucalyptus pauciflora					RL-Epau-2018			Scaffold	2019-07-30	VMYD01	415
ASM1932169v1	GCF_019321695.1	GCA_019321695.1	Diaporthe batatas		CRI 302-4					Annotation submitted by Crop Research Institute, Guangdong Academy of Agricultural Sciences	Contig	2021-07-22	JAHWGW01	34
Field_vole_promethion_pilon	GCA_902806775.1		Microtus agrestis								Contig	2020-02-28	CADCXT01	6993
mBlaBre1_p1.2	GCA_051295465.2		Blarina brevicauda					NShortTailedShrew01/CBP01580			Scaffold	2026-01-27	JBKFBT02	419
OSU_Roscu_1.1	GCF_029890125.1	GCA_029890125.1	Rhinichthys klamathensis goyatoka					OS25496		GCF_029890125.1-RS_2023_05	Contig	2023-04-27	JARGFG01	930
ASM4854415v1	GCA_048544155.1		Acropora intermedia					XC-2025b			Contig	2025-03-11	JBLWFQ01	633
Apibac1	GCA_030549205.1		Apiosordaria backusii		CBS 540.89					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-27	JAUKTV01	37
Ghok_1.0	GCA_054600715.1		Gekko hokouensis					Gho_19ZW01			Contig	2025-08-14	BAAIAJ01	4293
Pcit129764	GCA_038380885.1		Phyllosticta citrichinensis		CBS 129764					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-18	JBBWUH01	22
ASM5436951v1	GCA_054369515.1		Reticulitermes aculabialis					DY-2024e			Contig	2026-01-06	JBEFLB01	1245
ASM4749677v1	GCA_047496775.1		Gryllotalpa orientalis					lougu			Contig	2025-02-06	JBLBFB01	10436
ASM4766393v1	GCF_047663935.1	GCA_047663935.1	Musca autumnalis					F117	male	GCF_047663935.1-RS_2025_05	Scaffold	2025-02-11	JBKORA01	817
Tylosema_esculentum_1.0	GCA_052819105.1		Tylosema esculentum			Type 2					Scaffold	2025-09-24	JBNBNY01	3763
ASM5494888v1	GCA_054948885.1		Elaphomyces granulatus		Maridalen					Annotation submitted by DOE Joint Genome Institute	Contig	2026-02-06	JBTAFJ01	52
UCD_Foli_1.0	GCA_049004345.1		Fundulus olivaceus				Gasconade River, Missouri	FOLI-UCD-2024			Contig	2025-03-26	JBBPHG01	2622
ASM3076282v1	GCA_030762825.1		Penicillium turbatum		BLH34						Contig	2023-08-16	JAUJYX01	20
Dalgra1	GCA_022432525.1		Daldinia grandis		CBS 114736					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-01	JAJKLB01	26
Armnab1	GCA_030407065.1		Armillaria nabsnona		CMW6904					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-05	JAUDQA01	85
ASM3577116v1	GCA_035771165.1		Paragorgia papillata					YL-2023			Contig	2024-01-17	JAWNZC01	473
ASM1583217v1	GCA_015832175.1		Paraphaeosphaeria minitans		Conio (IMI134523)					Annotation submitted by University of Bedfordshire	Contig	2020-12-08	WJXW01	34
MPIMG_talOcc4v2.1	GCF_014898055.3	GCA_014898055.3	Talpa occidentalis					TD23	male	GCF_014898055.3-RS_2023_03	Scaffold	2020-10-19	RCFO01	3201
ASM5347778v1	GCA_053477785.1		Lasallia pustulata					5131			Scaffold	2025-11-14	JBNORW01	27
Pchart_ICMP24470_1	GCA_050657155.1		Pseudopithomyces chartarum		ICMP 24470						Contig	2025-06-02	JAYFEY01	34
ASM2903083v1	GCF_029030835.1	GCA_029030835.1	Brachyistius frenatus					BFR_SWC_R1_liver_20210118	male	GCF_029030835.1-RS_2024_11	Contig	2023-03-08	JANHZZ01	1003
Mycrub1	GCA_029204075.1		Mycena capillaripes		9286					Annotation submitted by DOE Joint Genome Institute	Contig	2023-03-14	JARHKZ01	118
ASM225199v2	GCF_002251995.1	GCA_002251995.2	Wickerhamiella sorbophila		DS02					Annotation submitted by KRIBB	Contig	2017-08-15	NDIQ01	21
ASM5125793v1	GCA_051257935.1		Hormonema carpetanum		ATCC 74360						Contig	2025-07-09	JBNOXU01	16
ASM5242622v1	GCA_052426225.1		Zancudomyces culisetae		HAW-14-8						Contig	2025-09-03	JBNJNM01	25
jaOrbAnnu2.hap2.1	GCA_977012875.1		Orbicella annularis								Contig	2025-11-08	CDRNEV01	1020
ASM5576202v1	GCA_055762025.1		Peziza echinospora		CBS144458					Annotation submitted by University of California Riverside	Contig	2026-03-10	JBNDNX01	38
ddMarFaba1.0.p	GCA_043882805.1		Marah fabacea					Mf_ss_2_CCGP	hermaphrodite		Scaffold	2024-10-25	JBEFNB01	926
Pcit17464	GCF_038025025.1	GCA_038025025.1	Phyllosticta citribraziliensis		CPC 17464					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-09	JBBPEH01	22
